		corr
H2-Ab1	Cbr2	0.5424013563146408
H2-Ab1	Cxcl15	0.523160419180592
H2-Ab1	Chil1	0.5034141518708397
H2-Ab1	Sftpd	0.6355550438556913
H2-Ab1	Etv5	0.5446102887627093
H2-Ab1	Ly6e	0.6614756733759398
H2-Ab1	Cd74	0.7591399763440014
H2-Ab1	Rnase4	0.5649536905757306
Cldn10	Fstl1	0.5246069025815472
Cldn10	Trf	0.5609580104509765
Cldn10	Scgb1a1	0.56679600308753
Cldn10	Scgb3a2	0.6773503094634836
Nupr1	Trf	0.5337258630315754
Nupr1	Cbr2	0.6895039221310454
Nupr1	Scgb1a1	0.5737529124979059
Nupr1	Scgb3a2	0.5463716613230654
Msn	Akap5	0.7231726899538675
Msn	Cav1	0.6765727842272521
Msn	S100a6	0.6924116083632049
Msn	Col4a3	0.6163073896432151
Msn	Clic5	0.6370197028149986
Msn	Ndnf	0.521047648885794
Msn	Pdpn	0.6306071602262486
Msn	Tspan8	0.5820141347093755
Msn	Dpysl2	0.6180140636118411
Msn	Emp2	0.6185893196446659
Msn	Ager	0.6478621025046665
Msn	Rtkn2	0.6509756738470918
Msn	Pmp22	0.5268422591582376
Msn	Gprc5a	0.6073616373652362
Msn	Itgb6	0.5163873692521587
Msn	Sdpr	0.5961145011579909
Msn	Tmem37	0.5588634615415408
Msn	Lgals3	0.613114227370948
Timp3	Akap5	0.7019922879135908
Timp3	Cav1	0.6641765199626062
Timp3	S100a6	0.6434448520953708
Timp3	Col4a3	0.5811471720871427
Timp3	Clic5	0.7521006418796929
Timp3	Ndnf	0.5069417791093372
Timp3	Pdpn	0.6859233196960308
Timp3	Tspan8	0.6024346360902839
Timp3	Dpysl2	0.6373905646170297
Timp3	Emp2	0.6844967794214301
Timp3	Ager	0.6199694720835243
Timp3	Rtkn2	0.6515836102788828
Timp3	Pmp22	0.5787926449179611
Timp3	Gprc5a	0.5778111048144795
Timp3	Itgb6	0.5899575492851324
Timp3	Sdpr	0.6566096709924377
Timp3	Tmem37	0.5504461731735992
Timp3	Lgals3	0.624072012486433
Timp3	Msn	0.6398388154835277
Rpl36	Akap5	0.5479269553600944
Rpl36	Cav1	0.5645783915546192
Rpl36	Fstl1	0.8610871298535397
Rpl36	S100a6	0.5449212054056037
Rpl36	Pdpn	0.5593247292116741
Rpl36	Dpysl2	0.5323239274189395
Rpl36	Rtkn2	0.501903416498077
Rpl36	Gprc5a	0.5102736664563349
Rpl36	Sdpr	0.5657032457721299
Rpl36	Cldn10	0.5713558230285362
Baiap2l1	Lyz2	0.7005651867948016
Baiap2l1	Sftpa1	0.6715598619213198
Baiap2l1	Sftpc	0.5214956428621726
Baiap2l1	Cd36	0.6605962647884143
Baiap2l1	Lamp3	0.6942294521180288
Baiap2l1	Slc34a2	0.6308045982775756
Baiap2l1	Scd1	0.6158492914433065
Baiap2l1	H2-Aa	0.7249454117345252
Baiap2l1	Cxcl15	0.6018021394670268
Baiap2l1	Sftpd	0.57137188298677
Baiap2l1	Cd74	0.6852510684176164
Baiap2l1	Rnase4	0.561923670216731
Baiap2l1	H2-Ab1	0.6213993553108759
Cldn18	Akap5	0.7276565090389278
Cldn18	Cav1	0.7012416256264161
Cldn18	S100a6	0.6005969552260815
Cldn18	Col4a3	0.6237646895975021
Cldn18	Clic5	0.6348161691158726
Cldn18	Ndnf	0.5617182102501221
Cldn18	Pdpn	0.6367992706438704
Cldn18	Tspan8	0.7095054045198421
Cldn18	Dpysl2	0.6858257276604096
Cldn18	Emp2	0.5733221028029997
Cldn18	Ager	0.6716477733690531
Cldn18	Rtkn2	0.6196619888866353
Cldn18	Pmp22	0.6201729210403638
Cldn18	Gprc5a	0.5908486622358708
Cldn18	Itgb6	0.5333725525472698
Cldn18	Sdpr	0.570751158444554
Cldn18	Tmem37	0.6139199695020795
Cldn18	Lgals3	0.5741880201771191
Cldn18	Msn	0.5712831239296098
Hopx	Akap5	0.8445460111982777
Hopx	Cav1	0.8386844500166838
Hopx	Fstl1	0.6837585583745274
Hopx	S100a6	0.8379195279739503
Hopx	Col4a3	0.7125419072960593
Hopx	Clic5	0.7698039484351269
Hopx	Ndnf	0.5548294825633403
Hopx	Pdpn	0.8170477224337519
Hopx	Tspan8	0.7131262543480748
Hopx	Dpysl2	0.7408089222604339
Hopx	Emp2	0.6945766418226053
Hopx	Ager	0.6846416963489935
Hopx	Rtkn2	0.8254886827803252
Hopx	Pmp22	0.7321613777689334
Hopx	Gprc5a	0.7124937706809018
Hopx	Itgb6	0.6547197889094499
Hopx	Sdpr	0.8020544143031388
Hopx	Tmem37	0.659211223585778
Hopx	Lgals3	0.7158530632930861
Hopx	Msn	0.6998247509056649
Hopx	Timp3	0.6241136997308827
Hopx	Rpl36	0.5856149109706539
Hopx	Cldn18	0.5931764972830081
Cryab	Akap5	0.738514855970134
Cryab	Cav1	0.673213840383394
Cryab	S100a6	0.6952624394325143
Cryab	Col4a3	0.6559485212552448
Cryab	Clic5	0.6650215617452443
Cryab	Ndnf	0.5015934807694095
Cryab	Pdpn	0.6651894854459648
Cryab	Tspan8	0.6136980471219021
Cryab	Dpysl2	0.6468219390284353
Cryab	Emp2	0.5668038745687135
Cryab	Ager	0.6340797906179958
Cryab	Rtkn2	0.6539386239112684
Cryab	Pmp22	0.6199753593880349
Cryab	Gprc5a	0.5952403820666347
Cryab	Itgb6	0.5400198411492335
Cryab	Sdpr	0.6610541224820583
Cryab	Tmem37	0.6262709468233709
Cryab	Lgals3	0.647938493432056
Cryab	Msn	0.602418275679453
Cryab	Timp3	0.5899259344230064
Cryab	Cldn18	0.5533563019920784
Cryab	Hopx	0.7463197206371316
Tmem213	Akap5	0.7054251960326616
Tmem213	Cav1	0.7064479218599403
Tmem213	Fstl1	0.8264216666685613
Tmem213	S100a6	0.6580651514962307
Tmem213	Col4a3	0.5184209015053866
Tmem213	Clic5	0.6204360943134416
Tmem213	Pdpn	0.6990364776245634
Tmem213	Tspan8	0.6121637572496389
Tmem213	Dpysl2	0.6672246642898016
Tmem213	Emp2	0.5765791511883387
Tmem213	Rtkn2	0.6555776411601484
Tmem213	Pmp22	0.5652338893181315
Tmem213	Gprc5a	0.6598487874245662
Tmem213	Sdpr	0.6650579503723584
Tmem213	Lgals3	0.5400694175267934
Tmem213	Rpl36	0.8259312672621847
Tmem213	Cldn18	0.5209412295065152
Tmem213	Hopx	0.6891544772197788
Tmem213	Cryab	0.55206383814744
Agrn	Akap5	0.7918547968748721
Agrn	Cav1	0.7868017049212078
Agrn	Fstl1	0.5903796212197423
Agrn	S100a6	0.7640734936034186
Agrn	Col4a3	0.6571094172982257
Agrn	Clic5	0.7489271988452684
Agrn	Ndnf	0.5827647428973953
Agrn	Pdpn	0.7616678465365548
Agrn	Tspan8	0.6912279759455016
Agrn	Dpysl2	0.6940034536591531
Agrn	Emp2	0.6544385765569793
Agrn	Ager	0.6419356615914182
Agrn	Rtkn2	0.7721347806659212
Agrn	Pmp22	0.6041276729955638
Agrn	Gprc5a	0.6968178798889066
Agrn	Itgb6	0.6031011762519028
Agrn	Sdpr	0.7289477359294226
Agrn	Tmem37	0.6187346196387339
Agrn	Lgals3	0.6483982316518511
Agrn	Msn	0.6250137124874219
Agrn	Timp3	0.5682717571452303
Agrn	Rpl36	0.5294611464478733
Agrn	Cldn18	0.5951824365575477
Agrn	Hopx	0.774860535015408
Agrn	Cryab	0.6696634535603251
Agrn	Tmem213	0.6613294722553419
Lmo7	Akap5	0.7439038072299529
Lmo7	Cav1	0.7325662559383965
Lmo7	S100a6	0.7148568706297527
Lmo7	Col4a3	0.693860140376959
Lmo7	Clic5	0.7341414331303631
Lmo7	Ndnf	0.5547673697358576
Lmo7	Pdpn	0.7528200039776535
Lmo7	Tspan8	0.5993759919112474
Lmo7	Dpysl2	0.6389370513893067
Lmo7	Emp2	0.6324520661108627
Lmo7	Ager	0.6333794288678873
Lmo7	Rtkn2	0.6915105804226848
Lmo7	Pmp22	0.5842668062679256
Lmo7	Gprc5a	0.6012826159164687
Lmo7	Itgb6	0.6518685046547095
Lmo7	Sdpr	0.6897093007512444
Lmo7	Tmem37	0.5399912907242158
Lmo7	Lgals3	0.6579620409189655
Lmo7	Msn	0.5479181947745075
Lmo7	Timp3	0.6859153436160763
Lmo7	Cldn18	0.5028871018521304
Lmo7	Hopx	0.6864786868509382
Lmo7	Cryab	0.5845084658632446
Lmo7	Agrn	0.6315846843800493
Hc	Lyz2	0.7310369950199146
Hc	Sftpa1	0.8111026275747982
Hc	Sftpc	0.7278231353879037
Hc	Cd36	0.7794128450502428
Hc	Lamp3	0.7961987895209417
Hc	Slc34a2	0.8350713885344733
Hc	Scd1	0.8018764287485093
Hc	H2-Aa	0.575217246368833
Hc	Cxcl15	0.8033173666592328
Hc	Chil1	0.8267390558842442
Hc	Sftpd	0.6343039775994194
Hc	Napsa	0.6024972622894563
Hc	Etv5	0.6310179934231981
Hc	Cd74	0.5842217478065369
Hc	Rnase4	0.7298562767758999
Hc	Baiap2l1	0.538357106076217
Cyp2f2	Trf	0.5374801947640504
Cyp2f2	Cbr2	0.586433282217843
Cyp2f2	Scgb1a1	0.8054411709012445
Cyp2f2	Scgb3a2	0.884589756446246
Cyp2f2	Cldn10	0.5667306065394477
Cyp2f2	Nupr1	0.5830453702483331
Qk	Akap5	0.7381866756470836
Qk	Cav1	0.7285153055958091
Qk	Fstl1	0.632558623517477
Qk	S100a6	0.6877338107623695
Qk	Col4a3	0.6126097938383092
Qk	Clic5	0.6474486087553887
Qk	Ndnf	0.5475129698661657
Qk	Pdpn	0.6786845843084633
Qk	Tspan8	0.5671275068940418
Qk	Dpysl2	0.661173944085331
Qk	Emp2	0.617834691808217
Qk	Ager	0.553668106710621
Qk	Rtkn2	0.6954284592188839
Qk	Pmp22	0.562622783833162
Qk	Gprc5a	0.6013546070771055
Qk	Itgb6	0.5917024497948749
Qk	Sdpr	0.6896151990782851
Qk	Lgals3	0.6517598686442295
Qk	Msn	0.5881139196610073
Qk	Timp3	0.5671009444616575
Qk	Hopx	0.6754470871773839
Qk	Cryab	0.6047933503338145
Qk	Tmem213	0.5599349507174721
Qk	Agrn	0.5923684438588538
Qk	Lmo7	0.6203846346003713
Hp	Cbr2	0.7428526220496672
Hp	Scgb1a1	0.6715025633123207
Hp	Scgb3a2	0.7324718987410427
Hp	Nupr1	0.6622442169553857
Hp	Cyp2f2	0.7797480582907009
Ahnak	Akap5	0.7888380402445986
Ahnak	Cav1	0.8316747796884224
Ahnak	Fstl1	0.6528820173235026
Ahnak	S100a6	0.7963297920907422
Ahnak	Col4a3	0.6648215675375488
Ahnak	Clic5	0.8330309642522931
Ahnak	Ndnf	0.5685351660789744
Ahnak	Pdpn	0.8179968404238354
Ahnak	Tspan8	0.6551595553993795
Ahnak	Dpysl2	0.7809036451124021
Ahnak	Emp2	0.7305127885038951
Ahnak	Ager	0.5814296896620689
Ahnak	Rtkn2	0.7387883680704612
Ahnak	Pmp22	0.6369498742235914
Ahnak	Gprc5a	0.7154691275565793
Ahnak	Itgb6	0.6120689424546945
Ahnak	Sdpr	0.7476874023313324
Ahnak	Tmem37	0.5938573131338681
Ahnak	Lgals3	0.7335044834651403
Ahnak	Msn	0.5938187207779226
Ahnak	Timp3	0.7472721860071957
Ahnak	Rpl36	0.5343238986285545
Ahnak	Cldn18	0.5481382683291858
Ahnak	Hopx	0.7437971996602044
Ahnak	Cryab	0.5918780203651608
Ahnak	Tmem213	0.6508258797645363
Ahnak	Agrn	0.7181057065719241
Ahnak	Lmo7	0.7507725256157476
Ahnak	Qk	0.7296492944371761
Clic3	Akap5	0.751975579073776
Clic3	Cav1	0.7374569996253589
Clic3	Fstl1	0.562262301028718
Clic3	S100a6	0.7570945060618287
Clic3	Col4a3	0.609602157871842
Clic3	Clic5	0.7719009485527654
Clic3	Pdpn	0.7183768562119066
Clic3	Tspan8	0.6009697186451426
Clic3	Dpysl2	0.7237436233309268
Clic3	Emp2	0.5254441941443984
Clic3	Ager	0.6433401158147375
Clic3	Rtkn2	0.666481431688358
Clic3	Pmp22	0.5703204580901048
Clic3	Gprc5a	0.6693597865141321
Clic3	Itgb6	0.5102132801884924
Clic3	Sdpr	0.6506540787709321
Clic3	Tmem37	0.5691726466914867
Clic3	Lgals3	0.7381985193407637
Clic3	Msn	0.6540104854411664
Clic3	Timp3	0.6501929243515367
Clic3	Cldn18	0.5110375846620361
Clic3	Hopx	0.7767723741681222
Clic3	Cryab	0.7524498075566195
Clic3	Tmem213	0.5971881973974056
Clic3	Agrn	0.6804546326934008
Clic3	Lmo7	0.6442072038744803
Clic3	Qk	0.608962935228201
Clic3	Ahnak	0.7476481313731139
Cd24a	Trf	0.5566588656712821
Cd24a	Scgb1a1	0.5486454590709454
Cd24a	Scgb3a2	0.5961406796155411
Cd24a	Cldn10	0.5046509445351012
Cav2	Akap5	0.6575958398811221
Cav2	Cav1	0.656890509418844
Cav2	S100a6	0.6416704233870367
Cav2	Col4a3	0.5881581791458875
Cav2	Clic5	0.5943710446943876
Cav2	Pdpn	0.6068906271798549
Cav2	Tspan8	0.5402472094949756
Cav2	Dpysl2	0.547227165356336
Cav2	Emp2	0.5352422774533818
Cav2	Ager	0.5457959902186231
Cav2	Rtkn2	0.5762618658960927
Cav2	Pmp22	0.6499205409991431
Cav2	Gprc5a	0.5246755412698657
Cav2	Itgb6	0.5408997361582508
Cav2	Sdpr	0.5888881849419987
Cav2	Tmem37	0.6481704651411814
Cav2	Lgals3	0.5534295909073648
Cav2	Msn	0.534109726019733
Cav2	Hopx	0.6763059311329692
Cav2	Cryab	0.5306714795048171
Cav2	Agrn	0.5550104948143321
Cav2	Lmo7	0.5878642509507392
Cav2	Qk	0.5272281937614265
Cav2	Ahnak	0.514659792606762
Cav2	Clic3	0.5727923719349248
Lamc2	Akap5	0.6682078815043809
Lamc2	Cav1	0.6767294840796421
Lamc2	Fstl1	0.5080784089070285
Lamc2	S100a6	0.6794100380805491
Lamc2	Col4a3	0.5724787143935204
Lamc2	Clic5	0.6375919965822352
Lamc2	Ndnf	0.5204851471983607
Lamc2	Pdpn	0.6248850531518002
Lamc2	Tspan8	0.5542667419707188
Lamc2	Dpysl2	0.5710267389764615
Lamc2	Emp2	0.5936595188868313
Lamc2	Ager	0.5251032377271512
Lamc2	Rtkn2	0.5726204932451723
Lamc2	Pmp22	0.6028033818019696
Lamc2	Gprc5a	0.6204010968114774
Lamc2	Sdpr	0.5723938497207869
Lamc2	Tmem37	0.5968573543256929
Lamc2	Lgals3	0.624133099255365
Lamc2	Msn	0.5356297836005034
Lamc2	Cldn18	0.5175256954592299
Lamc2	Hopx	0.6436961088742887
Lamc2	Cryab	0.5909272905170333
Lamc2	Tmem213	0.5415656503439394
Lamc2	Agrn	0.6525408962115499
Lamc2	Lmo7	0.5070630792954174
Lamc2	Qk	0.6285931316434078
Lamc2	Ahnak	0.6123253508163967
Lamc2	Clic3	0.5697871531890067
Lamc2	Cav2	0.5604028651071234
Rgcc	Akap5	0.7188899077713508
Rgcc	Cav1	0.6996521605309038
Rgcc	S100a6	0.728870347730029
Rgcc	Col4a3	0.6052708039963935
Rgcc	Clic5	0.6725004872601834
Rgcc	Ndnf	0.5253887563325111
Rgcc	Pdpn	0.7048611012703013
Rgcc	Tspan8	0.6571051474126617
Rgcc	Dpysl2	0.6564508032799088
Rgcc	Emp2	0.6104676689919348
